Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Family_Size,Income_PerCap,Total_Spent,Prop_Spending_Income_pc,Total_Puchases,Avg_Ticket,Age,Dt_Customer_InDays,Lives_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
3,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,3,13909.33,55,0.0039541803954611,5,11.0,46,299,0,0,0,0,1,0
3,33421.0,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,4,8355.25,124,0.0148409682534933,10,12.4,63,521,1,0,0,1,0,0
5,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,4,18137.5,1319,0.0727222605099931,28,47.11,60,102,0,0,1,0,0,0
3,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,2,32743.0,507,0.0154842256360138,17,29.82,57,652,1,0,0,0,0,1
4,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,2,39571.5,1693,0.0427833162756023,29,58.38,50,13,0,0,1,0,0,0
3,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,2,17895.0,72,0.0040234702430846,7,10.29,37,157,1,0,0,1,0,0
3,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,1,82582.0,1617,0.0195805381317962,21,77.0,37,678,1,1,0,0,0,0
3,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,4,16593.25,606,0.0365208744519608,23,26.35,36,318,0,0,1,0,0,0
4,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,2,41192.0,1957,0.0475092250922509,27,72.48,59,113,0,0,0,0,1,0
3,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,1,70287.0,1093,0.015550528547242,21,52.05,48,247,1,1,0,0,0,0
3,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,2,13969.0,29,0.0020760254850025,6,4.83,26,638,1,0,0,1,0,0
3,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,2,14283.5,46,0.0032204991773724,7,6.57,32,323,1,0,0,1,0,0
5,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,3,18651.33,518,0.0277728183459302,19,27.26,46,582,0,0,1,0,0,0
4,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,75777.0,1438,0.0189767343653087,21,68.48,32,340,1,0,0,1,0,0
3,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,4,16663.25,612,0.0367275291434744,22,27.82,39,40,0,0,0,0,1,0
3,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,2,30911.5,884,0.0285977710560794,24,36.83,62,204,1,0,0,1,0,0
5,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,2,33840.0,606,0.0179078014184397,19,31.89,63,317,1,0,0,0,0,1
3,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,2,35333.0,1076,0.0304531174822404,16,67.25,66,495,0,0,0,0,1,0
3,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,3,8573.67,34,0.003965629654512,5,6.8,43,296,0,0,1,0,0,0
3,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,4,8118.5,11,0.0013549300979244,4,2.75,47,651,0,0,0,0,1,0
2,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0,1,2,44097.0,1274,0.0288908542531237,32,39.81,35,598,1,0,0,1,0,0
3,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,3,23032.0,653,0.0283518582841264,18,36.28,56,425,0,0,0,0,1,0
3,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,5,14970.8,1562,0.1043364416063269,19,82.21,44,253,0,0,0,0,1,0
4,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,2,33495.5,1253,0.0374080100311982,21,59.67,60,44,0,0,1,0,0,0
2,26685.0,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,3,8895.0,109,0.0122540753232152,9,12.11,41,47,0,0,1,0,0,0
3,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,3,21677.0,863,0.0398117820731651,30,28.77,55,231,0,0,1,0,0,0
5,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,0,4,15157.75,661,0.0436080552852501,24,27.54,39,250,0,0,1,0,0,0
3,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,2,14166.0,65,0.0045884512212339,8,8.12,62,640,0,0,1,0,0,0
3,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,2,20123.0,13,0.0006460269343537,4,3.25,37,143,1,1,0,0,0,0
4,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,2,37625.5,1890,0.0502318906061049,19,99.47,42,29,0,0,1,0,0,0
3,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,1,75825.0,2209,0.0291328717441477,22,100.41,38,75,1,0,0,1,0,0
2,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,2,13163.0,18,0.0013674694218643,4,4.5,38,402,0,0,0,0,1,0
3,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,2,28023.0,692,0.0246940013560289,21,32.95,49,157,0,0,0,0,1,0
3,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,2,14880.0,165,0.0110887096774193,12,13.75,29,31,1,0,0,1,0,0
3,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,3,8768.0,16,0.0018248175182481,4,4.0,45,329,0,0,1,0,0,0
2,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,3,7853.0,79,0.0100598497389532,9,8.78,41,339,0,0,1,0,0,0
4,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,2,19310.0,318,0.016468151216986,11,28.91,51,286,0,0,0,0,1,0
3,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,1,81361.0,778,0.0095623210137535,27,28.81,27,576,1,1,0,0,0,0
3,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,4,7360.0,56,0.0076086956521739,7,8.0,54,378,0,0,1,0,0,0
4,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,0,4,9034.5,151,0.0167137085616248,13,11.62,44,352,0,0,1,0,0,0
3,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,2,25194.0,372,0.0147654203381757,17,21.88,57,668,1,0,0,1,0,0
3,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,2,39796.5,1366,0.0343246265375095,19,71.89,41,652,0,0,1,0,0,0
3,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,3,18059.33,194,0.0107423697335393,10,19.4,47,541,0,0,0,0,1,0
5,64412.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,5,12882.4,603,0.0468080481897783,29,20.79,57,113,0,0,1,0,0,0
3,40539.0,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,3,13513.0,18,0.0013320506179234,4,4.5,57,667,1,0,0,1,0,0
4,67210.0,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,2,33605.0,985,0.0293111144174973,15,65.67,41,482,0,0,0,0,1,0
4,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,2,21197.0,32,0.0015096475916403,5,6.4,42,602,1,0,0,1,0,0
5,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,3,7875.33,43,0.0054600886566023,10,4.3,44,664,0,0,1,0,0,0
3,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,3,10032.0,45,0.0044856459330143,6,7.5,31,662,0,0,1,0,0,0
3,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,0,2,23958.0,606,0.0252942649636864,22,27.55,54,116,1,0,0,0,0,1
3,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,3,17271.0,63,0.003647733194372,7,9.0,42,256,1,1,0,0,0,0
2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,2,39248.5,978,0.0249181497382065,25,39.12,63,490,0,0,1,0,0,0
5,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,2,25075.0,410,0.0163509471585244,16,25.62,31,326,0,0,1,0,0,0
2,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,2,23911.5,72,0.0030111034439495,7,10.29,54,359,1,0,0,1,0,0
5,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,2,17277.0,55,0.0031834230479828,7,7.86,55,609,1,0,0,1,0,0
3,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,3,28564.33,1169,0.0409251678579543,27,43.3,35,265,0,0,0,0,1,0
5,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,2,32923.0,1120,0.034018771071895,16,70.0,69,292,0,0,1,0,0,0
3,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,2,43597.5,1097,0.0251619932335569,20,54.85,55,648,0,0,1,0,0,0
1,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,3,8198.0,29,0.0035374481580873,5,5.8,35,499,0,0,0,0,1,0
3,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,4,12274.0,187,0.0152354570637119,13,14.38,50,422,0,0,1,0,0,0
3,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,4,13103.25,910,0.0694484192852918,26,35.0,45,188,0,0,1,0,0,0
3,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,2,19278.5,145,0.0075213320538423,9,16.11,36,143,1,0,0,1,0,0
4,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,2,44529.0,850,0.0190886837791102,14,60.71,54,131,0,0,1,0,0,0
3,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,3,25766.0,969,0.0376077000698595,24,40.38,35,461,0,0,0,0,1,0
5,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,1,68126.0,1820,0.026715204180489,17,107.06,23,104,1,0,0,1,0,0
4,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,0,3,19096.0,608,0.0318391286133221,20,30.4,51,696,0,0,0,0,1,0
3,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,86037.0,730,0.0084847216895056,25,29.2,23,157,1,0,0,1,0,0
5,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,3,14658.0,551,0.0375903943239186,21,26.24,34,136,0,0,1,0,0,0
3,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,3,16928.33,114,0.006734273256724,8,14.25,52,408,1,0,0,1,0,0
3,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,2,45382.5,1724,0.0379882113149341,15,114.93,44,544,0,0,1,0,0,0
2,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,3,12183.33,577,0.047359794079287,20,28.85,36,205,0,0,1,0,0,0
2,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,4,7688.25,81,0.0105355575065847,7,11.57,47,347,0,0,0,0,1,0
3,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,3,7306.0,33,0.0045168354776895,7,4.71,45,473,0,0,0,0,1,0
4,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,3,18709.67,660,0.0352758760576749,22,30.0,61,326,0,0,0,0,1,0
4,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,2,16278.5,80,0.0049144577203059,9,8.89,47,575,1,0,0,1,0,0
4,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,4,4877.5,30,0.0061506919528446,6,5.0,29,402,0,0,1,0,0,0
3,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,2,15496.0,43,0.0027749096541042,5,8.6,38,267,1,1,0,0,0,0
3,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,101970.0,1135,0.0111307247229577,27,42.04,31,226,1,0,0,1,0,0
2,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,2,35744.0,559,0.015638988361683,16,34.94,49,204,0,0,0,0,1,0
3,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,1,79607.0,1923,0.0241561671712286,16,120.19,30,266,1,0,0,1,0,0
4,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,4,13587.0,90,0.0066239788032678,8,11.25,61,679,0,0,1,0,0,0
5,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,3,18152.0,404,0.0222565006610841,17,23.76,53,347,0,0,1,0,0,0
5,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,4,19344.0,661,0.0341708023159636,23,28.74,58,650,0,0,0,0,1,0
3,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,3,20999.33,463,0.0220483224940986,19,24.37,62,428,0,0,1,0,0,0
4,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,3,20443.67,632,0.0309142145221479,23,27.48,56,224,1,0,0,1,0,0
3,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,2,36724.0,725,0.0197418581853828,19,38.16,45,561,0,0,1,0,0,0
3,65018.0,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,3,21672.67,725,0.033452269609605,19,38.16,51,378,0,0,1,0,0,0
5,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,4,10387.75,279,0.0268585593607855,16,17.44,50,381,0,0,1,0,0,0
5,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,2,31490.5,1482,0.0470618122925961,23,64.43,47,231,0,0,0,0,1,0
1,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,2,4774.0,29,0.0060745705906996,6,4.83,38,10,1,1,0,0,0,0
5,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,5,6752.4,106,0.0156981221491617,9,11.78,55,343,0,0,1,0,0,0
5,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,0,1,3,11953.33,49,0.0040992761013039,6,8.17,41,659,1,0,0,1,0,0
5,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,3,12307.0,38,0.0030876736816445,7,5.43,49,364,1,1,0,0,0,0
4,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,1,92859.0,2077,0.022367244962793,22,94.41,22,82,1,0,0,1,0,0
4,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,1,3,21701.33,1053,0.0485223716703077,17,61.94,38,473,0,0,0,0,1,0
3,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,2,43055.5,1385,0.0321677834423012,23,60.22,52,264,0,0,1,0,0,0
5,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,2,34176.0,871,0.0254857209737827,25,34.84,40,395,1,0,0,1,0,0
3,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,3,13961.0,312,0.0223479693431702,12,26.0,26,233,0,0,0,0,1,0
3,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,4,14952.25,877,0.058653379926098,15,58.47,38,81,0,0,1,0,0,0
3,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,3,7985.67,68,0.008515252946841,6,11.33,39,91,0,0,1,0,0,0
3,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,3,12849.0,22,0.0017121955015954,4,5.5,33,395,0,0,0,0,1,0
2,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,5,7137.6,211,0.0295617574534857,16,13.19,41,24,0,0,1,0,0,0
4,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,2,24802.5,127,0.0051204515673823,8,15.88,48,692,0,0,1,0,0,0
4,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,4,14838.5,459,0.0309330457930383,16,28.69,61,634,0,0,1,0,0,0
3,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,0,3,21915.67,460,0.020989547661559,19,24.21,45,586,0,0,1,0,0,0
2,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,3,15448.0,429,0.0277705851890212,17,25.24,42,138,0,0,0,0,1,0
3,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,2,17088.0,89,0.0052083333333333,11,8.09,26,652,1,0,0,1,0,0
5,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,3,20336.67,1021,0.0502048762162143,26,39.27,62,72,0,0,0,0,1,0
3,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,2,34686.0,1381,0.0398143343135559,21,65.76,65,205,0,0,0,0,1,0
3,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,2,24983.5,306,0.0122480837352652,15,20.4,56,344,1,0,0,1,0,0
3,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,4,15049.75,18,0.0011960331566969,4,4.5,36,410,1,0,0,1,0,0
3,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,3,18458.33,162,0.0087765252869571,9,18.0,37,445,0,0,0,0,1,0
3,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,1,80317.0,1231,0.0153267676830558,18,68.39,59,387,1,0,0,1,0,0
4,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,4,7630.75,13,0.0017036333256888,4,3.25,56,337,1,0,0,1,0,0
5,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,2,35178.0,1706,0.0484962192279265,27,63.19,69,99,0,0,1,0,0,0
3,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,3,7742.67,121,0.0156276839901481,11,11.0,30,525,0,0,1,0,0,0
5,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,1,74165.0,1293,0.0174340996426886,20,64.65,39,276,1,1,0,0,0,0
5,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,3,52414.33,1608,0.0306786331142647,37,43.46,41,580,0,0,1,0,0,0
3,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,5,8696.4,88,0.010119129754841,9,9.78,48,472,0,0,0,0,1,0
3,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,62551.0,421,0.006730507905549,18,23.39,61,477,1,1,0,0,0,0
3,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,1,52332.0,259,0.0049491706795077,12,21.58,55,395,1,1,0,0,0,0
3,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,1,66951.0,1117,0.0166838434078654,15,74.47,26,461,1,0,0,1,0,0
3,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,4,6522.75,89,0.0136445517611436,9,9.89,57,576,0,0,0,0,1,0
